"","Year","Site","N_coord","W_coord","Area_monitored_m2","Transect_number","Abudefduf_declivifrons","Abudefduf_troschelii","Acanthurus_achilles","Acanthurus_nigricans","Acanthurus_triostegus","Acanthurus_xanthopterus","Alphestes_immaculatus","Aluterus_scriptus","Anisotremus_interruptus","Anisotremus_taeniatus","Arothron_hispidus","Arothron_meleagris","Balistes_polylepis","Bodianus_diplotaenia","Calamus_brachysomus","Calotomus_carolinus","Cantherhines_dumerilii","Canthigaster_punctatissima","Caranx_sp","Cephalopholis_colonus","Cephalopholis_panamensis","Chaetodon_humeralis","Chanos_chanos","Chilomycterus_reticulatus","Chromis_alta","Chromis_atrilobata","Chromis_limbaughi","Cirrhitichthys_oxycephalus","Cirrhitus_rivulatus","Diodon_holocanthus","Diodon_hystrix","Elops_affinis","Epinephelus_labriformis","Epinephelus_quinquefasciatus","Fistularia_commersonii","Forcipiger_flavissimus","Girella_simplicidens","Gnathanodon_speciosus","Haemulon_flaviguttatum","Haemulon_maculicauda","Haemulon_scudderii","Haemulon_sexfasciatum","Haemulon_steindachneri","Halichoeres_chierchiae","Halichoeres_dispilus","Halichoeres_melanotis","Halichoeres_nicholsi","Halichoeres_notospilus","Halichoeres_semicinctus","Holacanthus_clarionensis","Holacanthus_passer","Hoplopagrus_guentherii","Johnrandallia_nigrirostris","Kyphosus_sp","Lutjanus_aratus","Lutjanus_argentiventris","Lutjanus_colorado","Lutjanus_guttatus","Lutjanus_inermis","Lutjanus_novemfasciatus","Lutjanus_viridis","Melichthys_niger","Microspathodon_dorsalis","Mulloidichthys_dentatus","Mycteroperca_jordani","Mycteroperca_prionura","Mycteroperca_rosacea","Mycteroperca_xenarcha","Nicholsina_denticulata","Novaculichthys_taeniourus","Ophioblennius_steindachneri","Ostracion_meleagris","Oxycirrhites_typus","Pareques_sp","Plagiotremus_azaleus","Pomacanthus_zonipectus","Prionurus_laticlavius","Pseudobalistes_naufragium","Rypticus_bicolor","Scarus_compressus","Scarus_ghobban","Scarus_perrico","Scarus_rubroviolaceus","Scomberomorus_sierra","Seriola_lalandi","Seriola_rivoliana","Serranus_psittacinus","Sphoeroides_annulatus","Sphoeroides_lobatus","Stegastes_acapulcoensis","Stegastes_flavilatus","Stegastes_leucorus","Stegastes_rectrifaenum","Sufflamen_verres","Synodus_lacertinus","Thalassoma_grammaticum","Thalassoma_lucasanum","Trachinotus_rhodopus","Xyrichthys_pavo","Zanclus_cornutus","Nb_sp","Tot_weight","min_Axis.1","min_Axis.2","min_Axis.3","min_Axis.4","min_Axis.5","max_Axis.1","max_Axis.2","max_Axis.3","max_Axis.4","max_Axis.5","range_Axis.1","range_Axis.2","range_Axis.3","range_Axis.4","range_Axis.5","FIde_Axis.1","FIde_Axis.2","FIde_Axis.3","FIde_Axis.4","FIde_Axis.5","FRic","FDiv","FEve","FDis","FSpe","FOri"
"2009Morros",3,"Morros",23.4616989,-109.4067642,300,6,0,0,0,0,0,0.166666667,0,0,0,0,0,0.222222222,0,1.111111111,0.388888889,0,0,0,0,0.111111111,0,0,0,0,4.722222222,0,0.055555556,0.388888889,0,1.666666667,0.055555556,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0.166666667,5.888888889,0,0.055555556,0,0,0,0.222222222,0,0,0,0,0.055555556,0,0,0,0,0,0,0,1.666666667,0,0,0.277777778,0,0,0,0,0,0,0,0.333333333,0.111111111,1.944444444,0,0,0.055555556,0,0.055555556,0.055555556,0,0,0,0,0,0,0,0.055555556,0,0.055555556,0.055555556,0,0.166666667,11.16666667,0,0,0,29,31.333333342,-0.31526204966462,-0.347931600486176,-0.235110094455809,-0.184466289169344,-0.230331777045163,0.36797733110349,0.317722381138228,0.220412565336826,0.335549825933587,0.254466912455063,0.683239380768111,0.665653981624404,0.455522659792635,0.520016115102931,0.484798689500227,-0.069128168487237,0.0882475853480171,-0.107163436433062,-0.0974620584726551,-0.0338992610157403,0.237261,0.839721,0.485346,0.538443040657528,0.563497825127161,0.407848428039228
"2010Cien-Esperanza",4,"Cien-Esperanza",23.42463328,-109.4067111,100,8,0,0,0,0,0,0.375,0.125,0,0,0,0,2.25,0.25,2.5,0,0,0,2.375,0,77.5,1.875,0,0,0,0,6.25,0,2.875,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,15,106.25,0,0.75,0,0,0,0,0,2.125,0.375,0.75,0,0,0.625,0,0,0,0.25,12.125,0,0,0,0,0,13,0,0,0,0,0,0.25,0,6.25,0,3.5,0,0,0,0.375,0,0.125,0,0,0,1.125,0,0,0,0.75,0.25,0.125,0.875,0,0,35.875,0,0,0,33,297.625,-0.31526204966462,-0.363571461394881,-0.371936527693208,-0.284417033618065,-0.230331777045163,0.36797733110349,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.683239380768111,0.793378219244542,0.659704397116158,0.619966859551652,0.484798689500227,0.174111431610537,0.0576200475092995,-0.19251680241202,-0.12537944416384,0.0273833505848225,0.398919,0.979183,0.511572,0.699097437562979,0.772065117460681,0.609582708726057
"2010Frailes-Lobera",4,"Frailes-Lobera",23.38204,-109.414745,200,16,0,1.5625,0,0.03125,0,0,0,0,0,0,0,0.34375,0.15625,2.3125,0,0,0,1.3125,0,0.78125,0.28125,0,0,0,0,23.40625,0,2.375,0.0625,0.03125,0,0,0.09375,0,0.03125,0,0,0,0,0.28125,0,0,0,0.46875,1.3125,0.0625,0.125,0.03125,0,0,0.21875,0.0625,0.25,2.21875,0,0,0,0,0,0,1.15625,0,0.21875,0,0,0,0.15625,0,0,0,1.75,0,0,0,1.875,0.0625,3.46875,0,0,0.0625,0.09375,0,0.46875,0,0,0,0.28125,0,0,0,1.34375,0,1.875,0.40625,0,0.1875,47.34375,0,0,1.09375,41,99.65625,-0.31526204966462,-0.347931600486176,-0.263762437448512,-0.16416778670685,-0.230331777045163,0.281065002204946,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.596327051869567,0.777738358335837,0.551530306871462,0.499717612640437,0.484798689500227,-0.00117770618146735,0.223917716453454,-0.172573264528616,-0.0577058906184174,-0.0415913350928568,0.288877,0.966217,0.424808,0.499918685362977,0.676808823204148,0.472385898565716
"2010Islote",4,"Islote",23.40785035,-109.413471,100,10,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,5.2,0,0,0,1.4,0.2,5.2,0.2,0,0,0,0,168.3,0.2,9.6,0.1,0.2,0.2,0,0.1,0,0,0,0,0,0,0,0,1.2,110,2.2,2.5,0,2,0,0,0,6.5,0,3.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,2.2,0.1,0,0,14.5,0.1,15.8,0,0,0,0.2,0,0.2,0,0,0,1.4,0,0,0,1.3,0,2.1,1.3,0,0,29.2,0,0,0,35,388.1,-0.31526204966462,-0.347931600486176,-0.371936527693208,-0.284417033618065,-0.230331777045163,0.40199144481392,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.717253494478541,0.777738358335837,0.659704397116158,0.619966859551652,0.484798689500227,0.11630036337611,0.200270745358505,-0.2395236998655,-0.0684486961812095,-0.00814401717229534,0.390139,0.971948,0.354019,0.702575809627073,0.83564600228006,0.621089587208137
"2010Morros",4,"Morros",23.4616989,-109.4067642,100,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,10.5,0,12.5,0,13.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1.5,0.5,1.5,0,0,0.5,0,0,0,0,0,0,0,15,0,0,3,0,0,0,2,0,0,0,21,0,5.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,4,0,0,15,0,0,0,21,112.5,-0.2751764142258,-0.343781317938471,-0.259219912229895,-0.184466289169344,-0.230331777045163,0.36797733110349,0.429806757849661,0.216122399837276,0.335549825933587,0.254466912455063,0.643153745329291,0.773588075788131,0.475342312067171,0.520016115102931,0.484798689500227,-0.0175800030574978,0.0297627308507201,-0.115351598261269,0.0225600217827756,-0.00477251645376283,0.233821,0.92913,0.57497,0.738511853443431,0.642056258371804,0.488230105515803
"2010Navajas",4,"Navajas",23.44524538,-109.4178619,100,10,0,0,0,0,0,0,0,0,0,0,0,0.3,0,3,0,0,0,4.3,0,0.4,0.5,0.1,0,0,0,10.7,0,11.8,0.5,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,1.8,4.3,0,0,0,0,0,1.5,0,1.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.5,0,0,0,1.2,0,3.2,0.1,0,0.4,0.6,0.1,0.5,0,0,0,1.2,0,0,0,2.7,0.6,2.9,3.1,0,0.3,115.4,0,0,0.6,32,175.5,-0.31526204966462,-0.347931600486176,-0.259219912229895,-0.254884704764505,-0.230331777045163,0.21846976198706,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.53373181165168,0.777738358335837,0.546987781652845,0.590434530698092,0.484798689500227,-0.0299488227485804,0.18489730729806,-0.177045127897397,-0.079426523759884,-0.0482815461351489,0.147291,0.95904,0.552076,0.416056884142849,0.628704807259018,0.513113519923098
"2011Bajo",5,"Bajo",23.45780716,-109.405278,200,12,0,0,0,0.25,0,1.041666667,0,0,1.875,1.666666667,0,1.083333333,0,6.625,0,0,0,1.375,0,33.08333333,0.208333333,0,0,0,0,74.58333333,0,8.416666667,0,4.083333333,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.291666667,6.208333333,0,0.125,0,0,0,2.708333333,0,0.25,0.041666667,0,5.75,0,0,0,0.333333333,0.833333333,0,0,1.458333333,0.125,0,2.25,0,0,0,0.625,0,0,0,7.791666667,0.125,9.875,0.208333333,0,0.041666667,0,0.416666667,0.25,0,0,0,0.041666667,0,0,0,1.333333333,0,0.958333333,1.458333333,0,0,75.75,0,0,0,38,253.791666659,-0.31526204966462,-0.363571461394881,-0.263762437448512,-0.275454082949749,-0.230331777045163,0.36797733110349,0.429806757849661,0.247516814136892,0.335549825933587,0.254466912455063,0.683239380768111,0.793378219244542,0.511279251585404,0.611003908883336,0.484798689500227,0.0548756873462894,0.224676296021341,-0.160166487672787,-0.0437168058599796,-0.0255450428230893,0.41583,0.967094,0.439906,0.580189996705027,0.709734234309733,0.466192104768006
"2011Cantil",5,"Cantil",23.43973468,-109.4111893,200,12,0,0,0,0,0,0.041666667,0,0,0,0,0,0.041666667,0,3.458333333,0,0,0,2.416666667,0,23.70833333,0.375,0,0,0,0,17.58333333,0,8.125,0,0,0.041666667,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.416666667,2.333333333,0,0,0,0,0,1.75,0.041666667,0.083333333,0.208333333,0,0,0,0,0,0,0,0,0,0,0,0,2.375,0,0,0,0.958333333,0,0,0,0.041666667,0,10.70833333,0.208333333,0,0.083333333,0.041666667,0,0.583333333,0,0,0,0.083333333,0,0,0,5.416666667,0,7.25,1.666666667,0,0.166666667,122.9166667,0,0,0.291666667,31,213.583333358,-0.31526204966462,-0.343781317938471,-0.259219912229895,-0.254884704764505,-0.230331777045163,0.21846976198706,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.53373181165168,0.773588075788131,0.546987781652845,0.590434530698092,0.484798689500227,0.00385838409701385,0.207538007484643,-0.162095156662306,-0.0853090816587258,-0.0278314729695137,0.201372,0.977941,0.398326,0.452903835726904,0.648599362424289,0.496753752952129
"2011Chopitos-Casitas",5,"Chopitos-Casitas",23.40370307,-109.4168574,400,24,0,1.697916667,0,0.114583333,0,0.020833333,0.010416667,0.020833333,0,0,0,0.0625,0.020833333,1.302083333,0,0,0,1.229166667,0.052083333,1.354166667,0.125,0,0,0,0,8.739583333,0,1.947916667,0.020833333,0.072916667,0,0,0.104166667,0,0.458333333,0,0,0,0,0,0,0.104166667,0,0.40625,1.822916667,0,0.114583333,0.041666667,0,0,0.09375,0,0.15625,1.177083333,0,0,0,0,0,0,0.385416667,0,0.020833333,0.46875,0,0,0.083333333,0,0,0,0.520833333,0,0,0,0.510416667,0,2.84375,0.010416667,0,0.020833333,0.46875,0,0.46875,0,0,0,0.322916667,0,0,0,1.010416667,0,4.270833333,0.3125,0,0.9375,22.875,0,0,0.260416667,44,57.0625,-0.31526204966462,-0.347931600486176,-0.263762437448512,-0.254884704764505,-0.230331777045163,0.40199144481392,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.717253494478541,0.777738358335837,0.551530306871462,0.590434530698092,0.484798689500227,-0.0279442274807079,0.189122651375919,-0.134615367595718,-0.0460114768083809,-0.0230119257188437,0.455036,0.939966,0.476475,0.57875643210125,0.646822174107646,0.429421790534691
"2011Cien-Esperanza",5,"Cien-Esperanza",23.42463328,-109.4067111,200,8,0,0,0,0,0,0,0,0,1.3125,4.0625,0,0.6875,0,9.0625,0,2.5,0,0.4375,0.9375,11.9375,0.4375,0,0,0,0,12.6875,5.3125,0.5,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,28.125,0,0,2.4375,0,0,0,0,0,1.0625,0,0.5,0,0,15,0,6.25,0,0.3125,0,0,0,13.75,0.375,0,2.4375,0,0,0,0,0,0,0,4.9375,0,1.9375,0,0,0,0.25,0.125,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,3.1875,0,0,0,29,131.5,-0.305939776822796,-0.363571461394881,-0.259219912229895,-0.322253001899466,-0.230331777045163,0.40199144481392,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.707931221636716,0.793378219244542,0.546987781652845,0.657802827833053,0.484798689500227,0.153398233805548,-0.0260790920333143,-0.0716925578869345,-0.0155488925766296,0.0500146813644326,0.418026,0.941896,0.469118,0.760900176181191,0.698864532947538,0.424128303141858
