"","Year","Site","N_coord","W_coord","Area_monitored_m2","Transect_number","Abudefduf_declivifrons","Abudefduf_troschelii","Acanthurus_achilles","Acanthurus_nigricans","Acanthurus_triostegus","Acanthurus_xanthopterus","Alphestes_immaculatus","Aluterus_scriptus","Anisotremus_interruptus","Anisotremus_taeniatus","Arothron_hispidus","Arothron_meleagris","Balistes_polylepis","Bodianus_diplotaenia","Calamus_brachysomus","Calotomus_carolinus","Cantherhines_dumerilii","Canthigaster_punctatissima","Caranx_sp","Cephalopholis_colonus","Cephalopholis_panamensis","Chaetodon_humeralis","Chanos_chanos","Chilomycterus_reticulatus","Chromis_alta","Chromis_atrilobata","Chromis_limbaughi","Cirrhitichthys_oxycephalus","Cirrhitus_rivulatus","Diodon_holocanthus","Diodon_hystrix","Elops_affinis","Epinephelus_labriformis","Epinephelus_quinquefasciatus","Fistularia_commersonii","Forcipiger_flavissimus","Girella_simplicidens","Gnathanodon_speciosus","Haemulon_flaviguttatum","Haemulon_maculicauda","Haemulon_scudderii","Haemulon_sexfasciatum","Haemulon_steindachneri","Halichoeres_chierchiae","Halichoeres_dispilus","Halichoeres_melanotis","Halichoeres_nicholsi","Halichoeres_notospilus","Halichoeres_semicinctus","Holacanthus_clarionensis","Holacanthus_passer","Hoplopagrus_guentherii","Johnrandallia_nigrirostris","Kyphosus_sp","Lutjanus_aratus","Lutjanus_argentiventris","Lutjanus_colorado","Lutjanus_guttatus","Lutjanus_inermis","Lutjanus_novemfasciatus","Lutjanus_viridis","Melichthys_niger","Microspathodon_dorsalis","Mulloidichthys_dentatus","Mycteroperca_jordani","Mycteroperca_prionura","Mycteroperca_rosacea","Mycteroperca_xenarcha","Nicholsina_denticulata","Novaculichthys_taeniourus","Ophioblennius_steindachneri","Ostracion_meleagris","Oxycirrhites_typus","Pareques_sp","Plagiotremus_azaleus","Pomacanthus_zonipectus","Prionurus_laticlavius","Pseudobalistes_naufragium","Rypticus_bicolor","Scarus_compressus","Scarus_ghobban","Scarus_perrico","Scarus_rubroviolaceus","Scomberomorus_sierra","Seriola_lalandi","Seriola_rivoliana","Serranus_psittacinus","Sphoeroides_annulatus","Sphoeroides_lobatus","Stegastes_acapulcoensis","Stegastes_flavilatus","Stegastes_leucorus","Stegastes_rectrifaenum","Sufflamen_verres","Synodus_lacertinus","Thalassoma_grammaticum","Thalassoma_lucasanum","Trachinotus_rhodopus","Xyrichthys_pavo","Zanclus_cornutus","Nb_sp","Tot_weight","min_Axis.1","min_Axis.2","min_Axis.3","min_Axis.4","min_Axis.5","max_Axis.1","max_Axis.2","max_Axis.3","max_Axis.4","max_Axis.5","range_Axis.1","range_Axis.2","range_Axis.3","range_Axis.4","range_Axis.5","FIde_Axis.1","FIde_Axis.2","FIde_Axis.3","FIde_Axis.4","FIde_Axis.5","FRic","FDiv","FEve","FDis","FSpe","FOri"
"2011Frailes-Lobera",5,"Frailes-Lobera",23.38204,-109.414745,200,12,0,0.083333333,0,0.125,0,0.375,0,0,0,0,0,0.166666667,0,3.875,0,0,0,2.208333333,12.5,5.375,0.25,0,0,0,0,17.75,0,1.833333333,0.083333333,0.083333333,0,20.83333333,0.25,0,0.041666667,0,0.041666667,0,0,0,0.041666667,0,0,0.833333333,3.041666667,0,0.083333333,0,0,0,0.291666667,0,0.583333333,1.458333333,0,0.041666667,0,0,0,0,3.208333333,0,0.041666667,2.458333333,0,0,0.541666667,0,0,0,1.333333333,0,0,0,1.875,0,6.875,0,0,0,0,0.041666667,1.041666667,0,0,0,0.125,0,0,0,1.375,0,9.75,0.5,0,0.708333333,58.875,0.75,0,0.541666667,42,162.291666663,-0.31526204966462,-0.347931600486176,-0.263762437448512,-0.184466289169344,-0.230331777045163,0.543072862157547,0.429806757849661,0.220412565336826,0.335549825933587,0.254466912455063,0.858334911822167,0.777738358335837,0.484175002785338,0.520016115102931,0.484798689500227,0.0874525827583277,0.140536877931256,-0.113989493535152,-0.0465701686340076,-0.0217663730373794,0.458939,0.960416,0.429461,0.720411912607152,0.707960498616574,0.43592428140198
"2011Morros",5,"Morros",23.4616989,-109.4067642,200,12,0,0,0,0.041666667,0,1.041666667,0.041666667,0,0,0,0,0.458333333,0,4.375,0.125,0,0,0.625,43.75,33.29166667,0.041666667,0,0.416666667,0,0,10.83333333,0,3.958333333,0,1.291666667,0.041666667,0,0.75,0,0.083333333,0,0,0,0,0,0,0,0,0,7.625,0,0.041666667,0,0,0,1.541666667,0,0.333333333,0,0,39.375,0,0,0,0.458333333,0,0,0,6.25,0.625,0,1.666666667,0,0,0,0.333333333,0,0,0,3.041666667,0,3.166666667,0.291666667,0,0.125,0.083333333,0.416666667,0.041666667,0,0,0,0.041666667,0,0,0,1.125,0,0,0.625,0,0,36.875,0,0,0,38,205.250000003,-0.31526204966462,-0.363571461394881,-0.259219912229895,-0.254884704764505,-0.230331777045163,0.40199144481392,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.71725349447854,0.793378219244542,0.546987781652845,0.590434530698092,0.484798689500227,0.18713862905656,0.103591022801059,-0.0624399397007736,-0.0182049059842721,0.0275280334176377,0.494382,0.960412,0.465293,0.721594270616187,0.716160020628687,0.32567422425283
"2011Navajas",5,"Navajas",23.44524538,-109.4178619,100,6,0,0,0,0,0,1.833333333,0,0,0.833333333,5,0,0.5,0.5,2.5,0,0,0,5.333333333,0,14.5,0,0,0,0,0,7.5,0,14.83333333,0,0.166666667,0,0,0.833333333,0,0.166666667,0,0,0,0,0,0,17.5,0,1,0.833333333,0,0,0.166666667,0,0,3.833333333,0,0.666666667,6,0,0.666666667,0,0,0,0,67.83333333,0,1,33.33333333,0,0,0.166666667,0,0,0,5.5,0,0,0,6.333333333,0,23,1,0,0.833333333,4.666666667,2.166666667,1.666666667,0,0,0,0,0,0,0,5.5,0,14.66666667,1,0,0.333333333,184.5,0,0,1.333333333,39,439.999999993,-0.31526204966462,-0.347931600486176,-0.263762437448512,-0.275454082949749,-0.230331777045163,0.36797733110349,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.683239380768111,0.777738358335837,0.551530306871462,0.611003908883336,0.484798689500227,0.0259488252595083,0.0746818759846899,-0.157201844904928,-0.0337010073423772,0.00708047944146955,0.427211,0.977878,0.376468,0.665460212936929,0.644416402085267,0.493153393462345
"2011Tachuelas",5,"Tachuelas",23.49104994,-109.4619083,200,12,0,2.958333333,0,0,0,0.333333333,0,0,0,0,0,0.5,0.416666667,2.166666667,0,0,0,3.458333333,4.583333333,0.458333333,0.75,0,0,0,0,15.91666667,0,5.083333333,0,0,0,0,1.208333333,0,0,0,0,0,0,0,0,0,0,0.333333333,2.25,0,0.166666667,0,0,0,1,0,1.25,0.166666667,0,0,0,0,0,0,0.541666667,0,0.166666667,2.083333333,0,0,0.5,0,0,0,1.041666667,0,0,0,1.208333333,0,5.833333333,0.083333333,0.041666667,0,0,0,0.416666667,0,0.625,0,0.25,0,0,0,2.791666667,0,16.33333333,0.958333333,0,0.541666667,76.91666667,0,0,0.083333333,36,153.416666669,-0.31526204966462,-0.347931600486176,-0.263762437448512,-0.254884704764505,-0.230331777045163,0.422709258904421,0.429806757849661,0.220412565336826,0.335549825933587,0.254466912455063,0.737971308569042,0.777738358335837,0.484175002785338,0.590434530698092,0.484798689500227,-0.0288430975310686,0.184006410393533,-0.147894377223128,-0.0514956100024191,-0.0305607407829243,0.354138,0.965538,0.604847,0.549691762634187,0.653008324854694,0.440346283753416
"2012Bajo",6,"Bajo",23.45780716,-109.405278,200,10,0,0,0,0,0,0.05,0.05,0,0,0,0,0.65,0.85,2.7,0,0,0,0.85,0,3.4,0.05,0.1,0,0,0,38.1,0.5,8.3,0,2.2,0,0,0.6,0,0,0,0,0,0,0.2,0,0.05,0,0.1,0.05,0,0,0,0,0,1.65,0.05,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0.45,0,0,0,0.4,0,0,0,0.95,0.05,3.05,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0.4,0,0,0.3,0.05,0,14.2,0,0,0,33,81.75,-0.31526204966462,-0.347931600486176,-0.263762437448512,-0.254884704764505,-0.230331777045163,0.29240623710853,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.60766828677315,0.777738358335837,0.551530306871462,0.590434530698092,0.484798689500227,0.051301899116302,0.260654139261707,-0.181683789992774,0.00902895254003802,-0.0382810095204725,0.35229,0.972432,0.542553,0.577115591558898,0.754987310912324,0.503187996366494
"2012Cantil",6,"Cantil",23.43973468,-109.4111893,100,4,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,1,0,0,0,5.25,0,0,0,0,0,0,0,8.25,0,12.5,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0.75,0,1.25,0.25,0,0,108.75,0,0,0,16,146.5,-0.31526204966462,-0.257064319486272,-0.259219912229895,-0.16416778670685,-0.230331777045163,0.197256953918577,0.429806757849661,0.257339752763666,0.335549825933587,0.254466912455063,0.512519003583198,0.686871077335933,0.516559664993562,0.499717612640437,0.484798689500227,-0.0231468054092787,0.198123501469041,-0.197253848809163,-0.0850202272699762,-0.0567432569346592,0.077259,0.980094,0.472466,0.355978717410671,0.643849571401569,0.553791972991812
"2012Chopitos-Casitas",6,"Chopitos-Casitas",23.40370307,-109.4168574,400,17,0.147058824,0.205882353,0.014705882,0.044117647,0,0,0.014705882,0,0,0,0,0.117647059,0.191176471,0.558823529,0,0,0,0.882352941,0,0.485294118,0.073529412,0,0,0,0,6.25,0.073529412,1.691176471,0.044117647,0.058823529,0,0,0.044117647,0,0,0,0,0,0,0.191176471,0,0.147058824,0,0.367647059,0.617647059,0.323529412,0.176470588,0,0.044117647,0,0.044117647,0,0.088235294,0.102941176,0,0.044117647,0,0.014705882,0,0,0.411764706,0,0.088235294,0.147058824,0,0,0,0,0,0,0.191176471,0,0,0,0.852941176,0,1.25,0,0,0.014705882,0.088235294,0.073529412,0.088235294,0,0,0,0.058823529,0,0,0,0.279411765,0,1.661764706,0.044117647,0,0.794117647,7.470588235,0,0,0.102941176,46,26.676470588,-0.31526204966462,-0.347931600486176,-0.263762437448512,-0.322253001899466,-0.166508132765428,0.36797733110349,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.683239380768111,0.777738358335837,0.551530306871462,0.657802827833053,0.420975045220491,-0.0259476610601819,0.186901613434225,-0.138608801945929,-0.00664053123028804,-0.0241776055645275,0.381772,0.928439,0.53944,0.639317316023336,0.666104463526295,0.421481974988728
"2012Cien-Esperanza",6,"Cien-Esperanza",23.42463328,-109.4067111,300,11,0,0,0,0,0,0,0.03030303,0,0.060606061,0,0,0.757575758,0.181818182,1.121212121,0,0,0,0.484848485,0.303030303,11.81818182,0.363636364,0,0,0,0,11.36363636,0.757575758,1.484848485,0,0.060606061,0,0,0.060606061,0,0,0,0,0,0,0,0,0,0,0,0.545454545,0,0,0,0,0,0.363636364,0.03030303,0.515151515,0,0,0.060606061,0,0,0,0,5.606060606,0,0,0,0.151515152,0,1.03030303,0.03030303,0,0,0.090909091,0,0,0,6.03030303,0,1.242424242,0,0,0,0,0.090909091,0,0,0,0,0.151515152,0,0,0,0.090909091,0,0,0.181818182,0.090909091,1.636363636,1.393939394,0,0,0,33,48.181818182,-0.31526204966462,-0.347931600486176,-0.263762437448512,-0.275454082949749,-0.230331777045163,0.40199144481392,0.429806757849661,0.247516814136892,0.335549825933587,0.254466912455063,0.71725349447854,0.777738358335837,0.511279251585404,0.611003908883336,0.484798689500227,0.0700429301165597,0.16961464568639,-0.117285200401059,0.0352623724115141,-0.0217243355137717,0.412362,0.925685,0.450412,0.697669390007911,0.688040267143508,0.366843966287779
"2012Frailes-Lobera",6,"Frailes-Lobera",23.38204,-109.414745,100,4,0,0,0.75,0,0,0,0,0,0,0,0,0.75,0.25,6.25,0,0,0,5.75,12.5,1.5,1.25,1.25,0,0,0,52.5,0,10.75,1.25,0.25,0,0,2.5,0,0,0,0,0,0,1.25,0,0,0,4.25,0.5,0,0,0,1.25,0,3,0,5.5,7.25,0,0.5,0,0,0,0.5,50,0,0.75,0,0,0,0.5,0,0,0,5.75,0,0,0,4,0,14.75,0,0.25,0,0,2.25,1.5,0,0.5,0,0,0,0,0,7.25,0,17.25,1,0,2,32.75,0,0,1.25,39,263.25,-0.31526204966462,-0.363571461394881,-0.263762437448512,-0.16416778670685,-0.230331777045163,0.422709258904421,0.429806757849661,0.220412565336826,0.335549825933587,0.254466912455063,0.737971308569042,0.793378219244542,0.484175002785338,0.499717612640437,0.484798689500227,0.020199562307304,0.120949615697724,-0.122994247184358,0.0482012647859184,-0.00349959900413394,0.426024,0.942798,0.504602,0.737862618818268,0.676173012544852,0.359121063080365
"2012Rodadero-Gavilanes",6,"Rodadero-Gavilanes",23.45180247,-109.4260018,100,4,5,0,0.25,2.25,0.5,0,0,0,0.25,0,0,0.5,0.75,6.5,0,0,0,12,0,1,3.25,2.5,0,0,0,18.75,0,7.25,0.75,0.25,0,0,1.5,0,0.25,0,0,0,0,0,0,0,0,8,4.75,0.5,2.5,0,4.25,0,3.5,0,12.75,4.75,0,3.75,0,0,0,2.5,0,0,6.5,12.5,0,0,0.75,0,0,0,0,0,0,0,6.5,0,14.5,1,0,0.75,3.75,3.5,1,0,1.5,0,0,0,0,0,3,0,10.75,0.5,0,3.75,53,0,0,0,44,234,-0.31526204966462,-0.363571461394881,-0.259219912229895,-0.275454082949749,-0.230331777045163,0.422709258904421,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.737971308569042,0.793378219244542,0.546987781652845,0.611003908883336,0.484798689500227,-0.0478692277436749,0.109577900379296,-0.0745821240056829,-0.023878907031927,0.00645978657907765,0.495466,0.884421,0.46357,0.655661327266187,0.598870028223296,0.375712201781507
"2012Islote",6,"Islote",23.40785035,-109.413471,200,10,0,1.2,0,0,0.2,0,0,0,0.05,0.05,0,0.35,0.15,4.05,0,0,0,1,0,10.95,0.05,0,0,0,0,43.5,0,2.65,0,0.05,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.25,1.4,1.1,0.3,0,0,0,1.75,0,2.9,0.5,0,1.05,0,0,0,0,0,0,0,0,0.15,0,0.1,0.05,0,0,0.65,0,0,0,1.55,0,3.65,0.05,0,0,0.4,1.45,0.05,0,0,0,0,0,0,0,0.2,0,1.25,0,0,0,5.25,1.1,0,0,36,89.55,-0.31526204966462,-0.347931600486176,-0.259219912229895,-0.275454082949749,-0.230331777045163,0.40199144481392,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.717253494478541,0.777738358335837,0.546987781652845,0.611003908883336,0.484798689500227,0.071487274759756,0.284902703316308,-0.147939310072907,-0.00431721045476768,-0.01937622126014,0.404062,0.945464,0.355543,0.55599051168896,0.750037400189552,0.419822107864448
"2012Morros",6,"Morros",23.4616989,-109.4067642,200,8,0,0,0.3125,0.5,0,0,0,0,0,0,0,0.25,0.9375,1.5,0,0,0,2.1875,14.0625,8.9375,0.3125,0,0,0,0,101.875,0,12.125,0,0.3125,0,0,0.375,0,0.125,0,0,0,0,0.9375,0,0.1875,0,0.125,2.125,0,1.6875,0,0,0,1.3125,0,0.375,0.0625,0,4.375,0,0,0,0,0,0,0,18.75,0.1875,0,0.625,0.125,0,0,1.9375,0,0,0,2.1875,0,2.75,0.0625,0,0.3125,0.5625,0.5625,0.125,0,0,0,0.4375,0,0,0,1.5,0,0.9375,0.0625,0,0,6.0625,0,0,0,40,192.1875,-0.31526204966462,-0.347931600486176,-0.259219912229895,-0.254884704764505,-0.230331777045163,0.40199144481392,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.717253494478541,0.777738358335837,0.546987781652845,0.590434530698092,0.484798689500227,0.10511985377147,0.248692980942495,-0.17039132827463,0.014665802862683,-0.0134513996053845,0.455428,0.976897,0.456226,0.65830158360466,0.802016138939252,0.486298424268393
"2012Navajas",6,"Navajas",23.44524538,-109.4178619,100,6,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.333333333,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,5.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,13.83333333,0,0,0,30.33333333,0,0,0.5,12,55.833333328,-0.31526204966462,-0.0420914395836403,-0.230115550015387,-0.16416778670685,-0.166508132765428,0.0714390808949641,0.229356287758008,0.140473642579203,0.335549825933587,0.254466912455063,0.386701130559585,0.271447727341649,0.37058919259459,0.499717612640437,0.420975045220491,-0.102485947798302,0.155668040521703,-0.136940148769064,-0.0228704381035423,-0.0241435159474841,0.010924,0.966724,0.501429,0.552401676264631,0.621626574800985,0.423128502220218
"2012Tachuelas",6,"Tachuelas",23.49104994,-109.4619083,200,8,0,4.5,0,0,0,0,0,0,0.0625,0,0,0.0625,1.25,0.4375,0,0,0,4.375,0,0.5,0.1875,3.625,0,0,0,5.9375,0,0.25,0.0625,0.1875,0,0,0.625,0,0.0625,0,0,0,0,0,0,0,0,1.3125,0,0.8125,1.125,0.5625,0.625,0,1.0625,0,3.125,0.1875,0,2.8125,0,0,0,0,0.3125,0,0,2.3125,0,0,0,0,0,0,1.375,0,0,0,0,0.3125,3.5625,0,0,0.25,0.3125,0.4375,0.25,0,0,0,0.125,0.0625,0,0,2,0,5.125,0.0625,0,0.3125,12.3125,0,0,0,40,62.875,-0.31526204966462,-0.347931600486176,-0.263762437448512,-0.275454082949749,-0.225895703578397,0.36797733110349,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.683239380768111,0.777738358335837,0.551530306871462,0.611003908883336,0.48036261603346,-0.0418259956089925,0.136797512172158,-0.105394074086367,-0.014978053483047,0.00921571174185472,0.349798,0.914736,0.420529,0.637718961006333,0.620763458127074,0.333799172856116
"2013Bajo",7,"Bajo",23.45780716,-109.405278,200,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.64285714,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.428571429,0,0,0,6.928571429,0,0,0,0,0,0,0,0,0,0,0,0.785714286,0,0,0,1.428571429,0,1.571428571,0,0,0,0,0,0,0,7,27.07142857,-0.31526204966462,-0.294838317941769,-0.145959710974313,-0.140391029414324,-0.12247990070148,0.0025595330252154,0.115717117348902,0.0182711792077906,0.335549825933587,0.0477427774321373,0.317821582689836,0.410555435290671,0.164230890182103,0.475940855347911,0.170222678133617,-0.098276661776723,0.0694812959270232,-0.0724409436247945,0.262724347948641,-0.0366788050148119,8.2e-05,0.799418,0.388929,0.381151225754865,0.621650178574653,0.55176239498277
"2013Cantil",7,"Cantil",23.43973468,-109.4111893,200,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.416666667,0,0,0,0,0,0,0,0,0,9.583333333,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.083333333,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.916666667,0,1.583333333,0,0.083333333,0,0,0,0,0,9,25.166666666,-0.31526204966462,-0.309772270332159,-0.145959710974313,-0.140391029414324,-0.12247990070148,0.0025595330252154,0.115717117348902,0.0182711792077906,0.335549825933587,0.0477427774321373,0.317821582689836,0.425489387681061,0.164230890182103,0.475940855347911,0.170222678133617,-0.157027846460092,0.0753109060117442,-0.0572103492424741,0.221418276516846,-0.0249862059770235,0.001172,0.779827,0.200851,0.437515872620172,0.625744040725094,0.421513192125686
"2013Chopitos-Casitas",7,"Chopitos-Casitas",23.40370307,-109.4168574,400,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.295454545,0,0,0,0,0,0,0,0,0,2.727272727,0.045454545,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545455,0,0,0,0,0,0,0,0.386363636,0,0,0,0.931818182,0,0,0,0,0,0,0,0,0,0,0,0.454545455,0,0,0,1.204545455,0,2.795454545,0,0,0,0,0,0,0,10,10.318181818,-0.31526204966462,-0.294838317941769,-0.145959710974313,-0.140391029414324,-0.12247990070148,0.0025595330252154,0.115717117348902,0.156323725624379,0.335549825933587,0.0618817228928593,0.317821582689836,0.410555435290671,0.302283436598692,0.475940855347911,0.184361623594339,-0.198576382917999,0.0766794020589641,-0.0318488405706224,0.190899321341768,-0.0112944767146031,0.001398,0.80523,0.450841,0.411869861052799,0.615256396344192,0.309787169379187
"2013Frailes-Lobera",7,"Frailes-Lobera",23.38204,-109.414745,200,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0.125,4.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.375,0,12.375,0,0,0,0,0,0,0,7,26.75,-0.31526204966462,-0.285654571302236,-0.200164005020943,-0.105324287392798,-0.12247990070148,0.0025595330252154,0.115717117348902,0.0182711792077906,0.335549825933587,0.0477427774321373,0.317821582689836,0.401371688651138,0.218435184228733,0.440874113326385,0.170222678133617,-0.217521174067356,0.075268604899881,-0.0230959566477478,0.187113118792635,-0.000896650628270813,0.000207,0.760155,0.286618,0.381263317989398,0.621764536643484,0.243523906773202
"2013Rodadero-Gavilanes",7,"Rodadero-Gavilanes",23.45180247,-109.4260018,200,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,6.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,5.8,0,16.4,0,0,0,0,0,0,0,9,39.1,-0.31526204966462,-0.0529864516806521,-0.145959710974313,0.0677703667741335,-0.12247990070148,0.0025595330252154,0.115717117348902,0.156323725624379,0.335549825933587,0.0618817228928593,0.317821582689836,0.168703569029554,0.302283436598692,0.267779459159454,0.184361623594339,-0.239002397036762,0.0812868364922724,-0.0209115435858831,0.17240931278523,-0.0027749817613227,0.000156,0.94184,0.336194,0.346696715209021,0.625659135284299,0.202467161273303
"2013Islote",7,"Islote",23.40785035,-109.413471,200,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,4.75,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1875,0,0,0,4.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,2.3125,0,0,0,0,0,0,0,7,15.3125,-0.31526204966462,-0.294838317941769,-0.145959710974313,-0.140391029414324,-0.12247990070148,0.0025595330252154,0.115717117348902,0.0182711792077906,0.335549825933587,0.0477427774321373,0.317821582689836,0.410555435290671,0.164230890182103,0.475940855347911,0.170222678133617,-0.155890888154222,0.0640155174702329,-0.0475389183105983,0.228370209525194,-0.047634305405867,0.000167,0.740707,0.31619,0.396785816250236,0.613848579273371,0.387324232537507
"2013Morros",7,"Morros",23.4616989,-109.4067642,200,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3125,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,4.0625,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.8125,0,0.25,0,0,0,0,0,0,0,8,20.8125,-0.31526204966462,-0.294838317941769,-0.145959710974313,-0.140391029414324,-0.12247990070148,0.0025595330252154,0.115717117348902,0.0182711792077906,0.335549825933587,0.0477427774321373,0.317821582689836,0.410555435290671,0.164230890182103,0.475940855347911,0.170222678133617,-0.11849421349839,0.0514176503912489,-0.071142472879506,0.171816544142325,-0.0314799159165665,0.000283,0.860211,0.492088,0.488025176776382,0.562208388486121,0.424782286997628
"2013Navajas",7,"Navajas",23.44524538,-109.4178619,200,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916666667,0,0,0,0,0,0,0,0,0,5.333333333,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333333333,0,0,0,0,0,0,0,2.583333333,0,0,0,1.833333333,0,0,0,0,0,0,0,0,0,0,0,0.583333333,0,0,0,1.916666667,0,8.583333333,0,0,0,0,0,0,0,9,24.333333332,-0.31526204966462,-0.0529864516806521,-0.145959710974313,0.0677703667741335,-0.12247990070148,0.0025595330252154,0.115717117348902,0.156323725624379,0.335549825933587,0.0618817228928593,0.317821582689836,0.168703569029554,0.302283436598692,0.267779459159454,0.184361623594339,-0.211133381525753,0.07447350256057,-0.015257106291854,0.173472923861846,0.00607361062369323,0.000156,0.89848,0.51815,0.377552217659842,0.598730940972006,0.286342025047383
"2013Tachuelas",7,"Tachuelas",23.49104994,-109.4619083,200,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.214285714,0,0,0,0,0,0,0,0,0,7.357142857,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,1.142857143,0,0,0,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0.571428571,0,0,0,1.928571429,0,15.92857143,0,0.142857143,0,0,0,0,0,10,29.857142858,-0.31526204966462,-0.309772270332159,-0.145959710974313,0.0677703667741335,-0.12247990070148,0.0025595330252154,0.115717117348902,0.156323725624379,0.335549825933587,0.0618817228928593,0.317821582689836,0.425489387681061,0.302283436598692,0.267779459159454,0.184361623594339,-0.225764961900961,0.0862893776759986,-0.0283546410661922,0.177215840084187,0.0130241109443144,0.00128,0.923812,0.50023,0.37102621904121,0.627885115646192,0.255989656686048
"2014Bajo",8,"Bajo",23.45780716,-109.405278,100,8,0,0,0,8.125,0,15.875,0,0,0,0,0,1.125,0.625,28.625,0,0,0,0,0,40.75,0,0,0,0,0,65,0,16.875,0,1.5,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0.625,6,0,0,0,0,0,4.625,0.125,0.125,0.5,0,0,0,0,0,0,39,0,0,2.5,0,0,7.25,0,0,0,3.25,0,0,0,1.25,0,9.625,0.125,0,0,0.25,0.75,0.125,0,0,0,0.75,0,0,0,11.5,0.125,4.625,4.375,0,0,138.875,0,0,0,32,415.5,-0.31526204966462,-0.347931600486176,-0.263762437448512,-0.254884704764505,-0.230331777045163,0.21846976198706,0.429806757849661,0.28776786942295,0.335549825933587,0.254466912455063,0.53373181165168,0.777738358335837,0.551530306871462,0.590434530698092,0.484798689500227,0.0213253635457181,0.15723873658448,-0.13680931111506,-0.0385276169134749,-0.0129674879987076,0.267805,0.932116,0.448495,0.637926352317894,0.656160793670294,0.441976381502909
