"","Tachuelas","Rodadero-Gavilanes","Navajas","Chopitos-Casitas","Frailes-Lobera","Islote","Cantil","Morros","Cien-Esperanza","Bajo"
"X2016.01.16",0.670837978521983,0.683246538043022,0.664300858974457,0.350854041675727,0.260030725598335,0.387096340457598,0.554321706295013,0.448887143284082,0.443502023816109,0.437289461493492
"X2016.02.15",0.978286325931549,0.88934214413166,0.82635635137558,0.666009133060773,0.523611921072006,0.700285732746124,0.757461147648948,0.661972027271986,0.692430131137371,0.624577030539513
"X2016.03.16",0.937553147474925,0.866870850324631,0.749432730674744,0.467095668117205,0.267422926425934,0.525255928436915,0.635419432606016,0.561335872858763,0.549600604921579,0.50647280116876
"X2016.04.16",0.676575680573781,0.616050526499748,0.573806661367416,0.321859506269296,0.205577313899994,0.376821090777715,0.49590876698494,0.467254549264908,0.412454919889569,0.439093177517255
"X2016.05.16",0.671963175137838,0.581961296498775,0.526437646150589,0.328400914867719,0.217869806289673,0.361929518481096,0.453508044992174,0.362099304795265,0.359077278524637,0.341460287570953
"X2016.06.16",1.44061211744944,1.31811091303825,1.15882378816605,0.837181061506271,0.747623133659363,0.889133354028066,1.05426965441023,0.935288079082966,0.915045477449894,0.877672960360845
"X2016.07.16",1.27964917818705,0.977671265602112,0.825703001022339,0.660706346233686,0.535294961929321,0.721829935908318,0.756523932729449,0.706089083105326,0.702976305037737,0.642066364487012
"X2016.08.16",0.606039961179098,0.565583541989326,0.532448536157608,0.322508069376151,0.214301034808159,0.371766825517019,0.47043423141752,0.346265755593777,0.389614632353187,0.332835167646408
"X2016.09.15",0.744770844777425,0.584558017551899,0.53814480304718,0.301103164752324,0.222121343016624,0.326049303015073,0.461458329643522,0.352556163445115,0.356782956048846,0.324707143008709
"X2016.10.16",0.525650054216385,0.475328266620636,0.433120310306549,0.259376779198647,0.157464662194252,0.304340002437433,0.379769676498004,0.265207577496767,0.316425791010261,0.249175553520521
"X2016.11.15",0.689853668212891,0.634148396551609,0.558245366811752,0.402600206434727,0.220784470438957,0.449167832732201,0.479285436017173,0.384059507399797,0.4448765181005,0.352385352055232
