"","Tachuelas","Rodadero-Gavilanes","Navajas","Chopitos-Casitas","Frailes-Lobera","Islote","Cantil","Morros","Cien-Esperanza","Bajo"
"X2004.04.16",54.1206376211984,54.1849093437195,54.2610168457031,53.7284893989563,53.9228731791178,53.9336912972586,54.2373156547546,54.363862991333,54.1827387809753,54.326078414917
"X2004.05.16",59.0125650678362,58.3360266685486,57.8219909667969,57.9151864051819,58.7910092671712,57.8389195033482,57.7671418190002,58.137996673584,57.7996954917908,57.9590587615967
"X2004.06.16",59.9788823808943,59.3877973556519,59.2281697591146,59.1789917945862,59.6241779327393,59.2341886247907,59.2386608123779,59.276243686676,59.2591805458069,59.2078768412272
"X2004.07.16",54.5396892002651,52.5141096115112,53.0367081960042,53.4572229385376,53.8281078338623,53.5084479195731,53.3452596664429,53.296826839447,53.6443018913269,53.3902448018392
"X2004.08.16",49.6968209402902,48.7944164276123,48.6485315958659,47.6739625930786,48.0721073150635,47.8356328691755,48.6083369255066,49.0219812393188,48.3580884933472,48.9693800608317
"X2004.09.16",44.6881904602051,45.430419921875,45.3773803710938,45.3726191520691,45.5080191294352,45.363094329834,45.420371055603,45.230694770813,45.3337149620056,45.2199548085531
"X2004.10.16",40.2222006661551,40.1584568023682,39.3391151428223,39.0828061103821,39.391461054484,39.1561900547573,39.3522114753723,40.1862812042236,39.465877532959,39.9707279205322
"X2004.11.16",35.3847830636161,34.7497463226318,34.4332326253255,33.735417842865,34.1958300272624,33.7187222072056,34.2981915473938,35.2733602523804,34.1373810768127,35.1950511932373
"X2004.12.16",29.3069204602923,29.6435396671295,29.4612553914388,29.5525257587433,29.9645843505859,29.49733543396,29.437468290329,29.5470957756042,29.4622032642365,29.4122988382975
"X2005.01.16",32.2001914978027,31.4356601238251,31.235392888387,32.0151925086975,32.4790083567301,31.8598259517125,31.4247508049011,30.9561257362366,31.594610452652,30.9475940068563
"X2005.02.15",35.3217370169503,33.4034411907196,33.4352836608887,34.5175242424011,35.3250509897868,34.234447479248,33.5218548774719,33.787456035614,33.9647469520569,33.5492242177327
"X2005.03.16",48.2213505336217,46.7279896736145,46.4907410939535,46.7403779029846,47.067710240682,46.4509353637695,46.4768309593201,46.4108581542969,46.332649230957,46.4258829752604
"X2005.04.16",52.113881792341,50.9880847930908,50.1051400502523,50.6020560264587,51.1968949635824,50.4916665213449,50.1162858009338,50.0164451599121,50.1783895492554,49.8642145792643
"X2005.05.16",58.5974943978446,56.8288779258728,56.6609694163005,55.3075852394104,56.3714351654053,55.501220703125,56.4865312576294,57.0856418609619,56.1428480148315,56.9069576263428
"X2005.06.16",59.4589990888323,59.0975747108459,58.9145139058431,58.6807098388672,59.1234633127848,58.7924515860421,58.8843865394592,59.0606079101562,58.8471999168396,58.9713706970215
"X2005.07.16",56.4471980503627,57.293924331665,57.0830796559652,57.2660069465637,57.7565828959147,57.3459243774414,57.2515807151794,56.8601322174072,57.4646716117859,56.8485819498698
"X2005.08.16",53.2189794267927,52.6160707473755,52.1848894755046,51.243284702301,50.2999483744303,51.8557286943708,52.1217622756958,52.0327558517456,51.9365229606628,51.760591506958
"X2005.09.16",46.3619014195033,48.7221465110779,48.7807737986247,48.650571346283,48.7487964630127,48.533145904541,48.8004975318909,48.7197451591492,48.6869187355042,48.726318359375
"X2005.10.16",44.3515129089355,43.0577707290649,42.9631468454997,42.9354071617126,43.0167598724365,42.9870316641671,42.9483389854431,43.4516019821167,43.0385608673096,43.3662293752035
"X2005.11.16",37.9070799691336,37.6777963638306,37.4841702779134,37.4432315826416,37.6364288330078,37.5367540631975,37.5232086181641,37.609034538269,37.5651135444641,37.5302015940348
"X2005.12.16",32.8651327405657,32.3651671409607,32.0777146021525,32.3829731941223,32.6894461313883,32.2852189200265,32.0875709056854,32.3249669075012,32.1004235744476,32.2654730478923
"X2006.01.16",31.5791803087507,30.5896711349487,30.4682455062866,30.580265045166,30.7947047551473,30.6702368600028,30.4706754684448,30.8561887741089,30.6233289241791,30.7426993052165
"X2006.02.15",42.0016059875488,42.1135864257812,41.9945945739746,41.8087763786316,41.9281101226807,41.9291806902204,41.9414176940918,41.8279328346252,41.9205055236816,41.7753562927246
"X2006.03.16",43.7958586556571,44.5828175544739,44.2803961435954,43.9824514389038,43.9958813985189,43.9624383108956,43.9088006019592,44.2046766281128,43.3709354400635,44.2607078552246
"X2006.04.16",55.3557995387486,54.6057891845703,54.3254776000977,54.3938770294189,54.6582584381104,54.4474165780204,54.3085384368896,54.6316466331482,54.3898415565491,54.5369046529134
"X2006.05.16",57.6769098554339,56.0243039131165,55.7958285013835,55.5349106788635,56.3811601003011,55.5684563773019,55.815113067627,56.360710144043,55.8041024208069,56.2805608113607
"X2006.06.16",58.5898857116699,58.6420106887817,58.4181709289551,58.2613005638123,58.5990314483643,58.4364923749651,58.4591770172119,58.7854099273682,58.553512096405,58.7054309844971
"X2006.07.16",52.2105870928083,51.5384821891785,51.6671269734701,51.4315314292908,51.7851893107096,51.4622562953404,51.7703633308411,52.3833246231079,51.8305959701538,52.4905529022217
"X2006.08.16",50.8356312343052,50.3151888847351,50.5424976348877,49.737021446228,49.4262886047363,49.9747472490583,50.3203496932983,51.2547922134399,50.1541361808777,51.1538422902425
"X2006.09.16",49.3378535679408,47.1979479789734,47.2846527099609,47.6359624862671,47.7143898010254,47.6421094621931,47.33402967453,47.5314159393311,47.625159740448,47.4457416534424
"X2006.10.16",42.2854336329869,41.4599947929382,41.2508761088053,40.5443868637085,41.4607632954915,40.3537635803223,41.0369029045105,41.4958643913269,40.6898818016052,41.3611526489258
"X2006.11.16",37.1508783612932,37.2153239250183,36.6210505167643,37.163393497467,37.2404638926188,36.9669886997768,36.5438494682312,36.552065372467,36.5490975379944,36.3825219472249
"X2006.12.16",30.6847264426095,31.7938621044159,31.2221409479777,31.2639539241791,31.1948172251383,31.3482524326869,31.247795343399,30.8628933429718,31.2552800178528,30.903351465861
"X2007.01.16",29.2170377458845,29.5386304855347,29.4923597971598,28.9229445457458,28.0561386744181,29.3352680206299,29.4262261390686,29.5646777153015,29.3311293125153,29.5745293299357
"X2007.02.15",40.3942811148507,39.3587694168091,39.0455932617188,39.1770153045654,39.8374354044596,39.0116359165737,38.9591474533081,38.934757232666,38.9857497215271,38.8743724822998
"X2007.03.16",49.3882195608956,48.4491157531738,48.7859694163005,48.9943103790283,49.0717093149821,49.1099711826869,48.9443073272705,48.635871887207,49.0698390007019,48.6951974232992
"X2007.04.16",53.3498633248465,53.5403666496277,53.4642607371012,53.4326782226562,53.9843374888102,53.509409223284,53.464506149292,53.7590179443359,53.5947623252869,53.7414588928223
"X2007.05.16",56.3289151872907,56.0441136360168,55.8666667938232,55.7299289703369,56.5112298329671,55.7610353742327,55.8772292137146,56.5328707695007,55.9906439781189,56.3911616007487
"X2007.06.16",59.6942836216518,59.3365321159363,59.0459092458089,58.9943876266479,59.4683259328206,59.0469676426479,59.0622787475586,59.1303563117981,59.0917730331421,59.0711097717285
"X2007.07.16",54.9697172982352,55.4024739265442,55.5063190460205,55.3559770584106,55.4049078623454,55.6300484793527,55.8060574531555,55.4491729736328,56.0446743965149,55.6119715372721
"X2007.08.16",54.1124371119908,52.3816661834717,51.3394584655762,51.8495688438416,51.7520771026611,51.6466843741281,51.3119201660156,51.5763468742371,51.3201103210449,51.5628973642985
"X2007.09.16",47.3162596566336,46.8697075843811,45.9140669504801,46.360641002655,46.6450112660726,46.4126488821847,45.8790311813354,46.1083807945251,46.118362903595,45.9337781270345
"X2007.10.16",43.0945543561663,43.2185759544373,42.9367427825928,42.3304214477539,42.2222461700439,42.6430380684989,42.8975749015808,42.9819540977478,42.9062523841858,42.9078795115153
"X2007.11.16",36.5819664001465,35.8637375831604,35.887123743693,36.0905776023865,36.0626366933187,36.0557681492397,35.9732675552368,35.550039768219,35.9653654098511,35.4198633829753
"X2007.12.16",26.6325016021729,26.9250330924988,27.0047556559245,27.618079662323,28.0612697601318,27.4370626722063,27.1417057514191,27.2291395664215,27.285608291626,27.2715895970662
"X2008.01.16",33.4702736990792,33.019006729126,32.8412901560465,32.5885100364685,33.0204289754232,32.4537233625139,32.6613550186157,33.1912384033203,32.4529676437378,33.1701227823893
"X2008.02.15",40.4932866777693,40.53196144104,40.3177293141683,40.5167016983032,40.4654992421468,40.6230294363839,40.3558044433594,40.4301314353943,40.4912481307983,40.3644307454427
"X2008.03.16",50.7475852966309,50.1652312278748,50.0156548817952,49.5571932792664,49.8042182922363,49.5842437744141,49.9272208213806,50.0314264297485,49.6597771644592,49.9281075795492
"X2008.04.16",55.8449745178223,55.5135259628296,55.2257137298584,55.4506964683533,55.7905521392822,55.4386313302176,55.2686581611633,55.2338004112244,55.3246288299561,55.169043858846
"X2008.05.16",57.1214724949428,55.5444278717041,55.6568209330241,55.6783428192139,56.5079790751139,55.6724014282227,55.5080075263977,56.0429782867432,55.4823670387268,55.906187693278
"X2008.06.16",58.5578782217843,57.937180519104,57.9542140960693,57.8788752555847,58.5883439381917,57.933787209647,57.9272780418396,58.049786567688,57.9578013420105,57.9381402333577
"X2008.07.16",53.749870300293,53.4470267295837,53.9112968444824,53.4685072898865,53.6544857025146,53.5250402178083,53.9897198677063,53.6963419914246,53.9502801895142,53.7649250030518
"X2008.08.16",51.9177306038993,51.9833574295044,51.9990406036377,50.9672708511353,51.6777820587158,51.0064043317522,51.7711758613586,51.7225966453552,51.2188496589661,51.6960029602051
"X2008.09.16",50.2300910949707,49.648129940033,49.703358968099,49.9640378952026,50.1401983896891,49.9632186889648,49.68510389328,49.6687083244324,49.7655825614929,49.6255970001221
"X2008.10.16",43.7756794520787,43.3156909942627,43.2633857727051,42.9325585365295,42.4625568389893,43.0985794067383,43.2202730178833,43.3049483299255,43.1402354240417,43.3068408966064
"X2008.11.16",35.231443132673,35.8150115013123,35.6445941925049,35.3612051010132,35.6273225148519,35.2364872523717,35.5654106140137,35.6463046073914,35.3605246543884,35.5690720876058
"X2008.12.16",29.3384688241141,30.1834037303925,29.8906075159709,29.8576674461365,29.7721926371257,29.9695619855608,29.8468267917633,29.7156670093536,29.7728471755981,29.6984132130941
"X2010.09.16",45.2349764506022,41.7835788726807,41.1610130310059,41.2011248270671,41.3425140380859,41.1527080535889,40.8532954624721,42.2514686584473,40.9575934410095,41.5614579518636
"X2010.10.16",43.7701250712077,43.9349355697632,44.0595962524414,44.1243190765381,44.2615570068359,44.1144002278646,44.1576058523996,44.0351810455322,44.0680408477783,44.0327580769857
"X2010.11.16",37.8000933329264,37.1093645095825,36.9875328063965,36.9157759348551,37.6688011169434,36.7849769592285,36.8828593662807,37.4497094154358,36.7576522827148,37.3819204966227
"X2010.12.16",34.2526842753092,33.1618347167969,33.075617980957,32.5444434483846,32.7853679656982,32.459038734436,33.0125023978097,33.4388828277588,32.8234581947327,33.3384749094645
"X2012.03.16",45.8197682698568,45.0408573150635,45.1271522521973,45.6839453379313,45.9275421142578,45.6299457550049,45.3250421796526,44.7584924697876,45.4856352806091,44.7767524719238
"X2012.04.16",53.9759801228841,52.8859033584595,52.749535369873,51.9962952931722,52.5462142944336,52.0976327260335,52.5594476972307,53.2937293052673,52.3312292098999,53.2371190388997
"X2012.05.16",57.9217058817546,56.5363683700562,56.1183464050293,55.8906097412109,56.733812713623,55.9380086263021,56.0505518232073,56.6359014511108,56.0616502761841,56.3816897074381
"X2012.07.16",57.8683916727702,57.3480777740479,57.2411064147949,57.4491697947184,57.5215637207031,57.4383296966553,57.3138187953404,57.4846997261047,57.4325203895569,57.4679457346598
"X2012.10.16",42.2885462443034,42.0503644943237,41.8602233886719,42.0116170247396,42.3288284301758,41.9840933481852,41.8621989658901,41.7995376586914,41.8220934867859,41.7436141967773
"X2012.12.16",29.0966180165609,28.8671154975891,28.6813751220703,28.199956258138,28.1989555358887,28.2859919865926,28.5984513419015,28.7137279510498,28.4891719818115,28.5627266565959
"X2013.01.16",32.2008934020996,32.3992581367493,32.2361297607422,31.6846078236898,31.9394802093506,31.8405262629191,32.0926489148821,32.1162252426147,31.7354547977448,32.1023581822713
"X2013.02.15",38.781307220459,38.3017091751099,38.3787033081055,38.5910797119141,38.8682579040527,38.5270048777262,38.4099916730608,38.0561995506287,38.3953614234924,38.1069901784261
"X2013.03.16",48.2713724772135,47.4982242584229,47.173494720459,47.8441289265951,48.4052673339844,47.8002236684163,47.2402011326381,47.4276008605957,47.4441704750061,47.2942409515381
"X2013.04.16",54.2958806355794,53.8863897323608,53.8957412719727,53.8646151224772,54.0678443908691,53.8885383605957,53.9587947300502,53.8891763687134,54.0334296226501,53.8711090087891
"X2013.05.16",58.4480489095052,57.0226564407349,56.5792892456055,56.5487060546875,57.722093963623,56.4561882019043,56.3614910670689,57.2060885429382,56.3104977607727,56.9865849812826
"X2013.06.16",59.3092219034831,58.4812641143799,58.38818359375,58.0896288553874,58.4423873901367,58.1051279703776,58.3532311575753,58.4984936714172,58.2580556869507,58.4544321695964
"X2013.07.16",54.479855855306,54.2145004272461,54.1444938659668,53.7269007364909,54.0299095153809,53.7171020507812,53.9362493242536,54.1141819953918,53.8839249610901,54.0351505279541
"X2013.08.16",50.0163688659668,48.9961109161377,49.0018539428711,49.2476526896159,49.8155654907227,49.3026523590088,49.1855370657785,49.4703345298767,49.361255645752,49.4066403706869
"X2013.09.16",48.1925239562988,47.8862619400024,47.9526374816895,48.0871721903483,48.2244285583496,48.1469027201335,48.0594188145229,47.9978270530701,48.1148147583008,47.9805660247803
"X2013.10.16",41.2409845987956,41.6685304641724,41.6541328430176,41.8893438975016,43.3496803283691,41.6447251637777,41.5173165457589,42.4102725982666,41.5345482826233,42.3763917287191
"X2013.11.16",33.2589124043783,33.0072650909424,32.8158760070801,31.7995014190674,31.9732963562012,32.0723190307617,32.9289120265416,32.7065477371216,32.730411529541,32.4546292622884
"X2013.12.16",25.7303994496663,25.3684005737305,24.5920001983643,24.3697830835978,25.8668395996094,23.8687000274658,24.1345716203962,25.4971499443054,24.0671870708466,25.2585995992025
"X2014.01.16",35.0752092997233,34.3038949966431,34.2444648742676,34.2643171946208,34.5311401367187,34.2197583516439,34.1336446489607,34.4974522590637,34.1723051071167,34.5159982045492
"X2014.02.15",40.2388356526693,40.1397476196289,40.1423973083496,40.148650487264,40.0242118835449,40.198397954305,40.142822265625,39.9439520835876,40.1693496704102,39.9587306976318
"X2014.03.16",49.3390502929688,48.4599857330322,48.3302322387695,48.8425025939941,49.496558380127,48.7538509368896,48.258536202567,48.4973158836365,48.3782162666321,48.4194355010986
